material,grade,bh_max,residual_induction,coercive_force_induction,coercive_force_magnetization,curie_temperature,density
Neodymium,N35,263,1.17,868,955,80,7.5
Neodymium,N38,287,1.21,899,955,80,7.5
Neodymium,N40,302,1.25,923,955,80,7.5
Neodymium,N42,318,1.28,923,955,80,7.5
Neodymium,N45,342,1.32,876,955,80,7.5
Neodymium,N48,366,1.38,835,876,80,7.5
Neodymium,N50,376,1.4,835,880,80,7.5
Neodymium,N30M,223,1.08,780,1114,100,7.5
Neodymium,N33M,239,1.14,820,1114,100,7.5
Neodymium,N35M,263,1.17,860,1114,100,7.5
Neodymium,N38M,287,1.22,860,1114,100,7.5
Neodymium,N40M,302,1.26,860,1114,100,7.5
Neodymium,N42M,318,1.29,836,1114,100,7.5
Neodymium,N45M,342,1.33,836,1114,100,7.5
Neodymium,N48M,358,1.37,836,1114,100,7.5
Neodymium,N30H,223,1.08,780,1353,120,7.5
Neodymium,N33H,247,1.13,836,1353,120,7.5
Neodymium,N35H,263,1.17,868,1353,120,7.5
Neodymium,N38H,287,1.21,899,1353,120,7.5
Neodymium,N40H,302,1.24,923,1353,120,7.5
Neodymium,N42H,318,1.28,923,1353,120,7.5
Neodymium,N45H,334,1.32,955,1353,120,7.5
Neodymium,N30S,223,1.08,780,1595,150,7.5
Neodymium,N33S,247,1.13,844,1595,150,7.5
Neodymium,N35S,263,1.17,876,1595,150,7.5
Neodymium,N38S,287,1.21,907,1595,150,7.5
Neodymium,N40S,302,1.24,939,1595,150,7.5
Neodymium,N42S,326,1.3,963,1595,150,7.5
Neodymium,N28U,207,1.02,764,1990,180,7.5
Neodymium,N30U,223,1.08,812,1990,180,7.5
Neodymium,N33U,247,1.13,852,1990,180,7.5
Neodymium,N35U,268,1.17,860,1990,180,7.5
Neodymium,N38U,279,1.22,908,1990,180,7.5
Neodymium,N40U,303,1.26,940,1990,180,7.5
Neodymium,N26E,191,1,764,2400,200,7.5
Neodymium,N28E,207,1.04,780,2400,200,7.5
Neodymium,N30E,223,1.08,812,2400,200,7.5
Neodymium,N33E,248,1.14,835,2400,200,7.5
Neodymium,N35E,263,1.17,860,2400,200,7.5
Neodymium,N28A,207,1.04,796,2785,240,7.5
Neodymium,N30A,223,1.08,828,2785,240,7.5
Neodymium,N32A,239,1.14,867,2785,240,7.5